datetime,year,month,date_diff,week_flg,remarks_flg,weather_flg,temperature,y
2013-11-18,2013,11,0,1,0,2,19.8 ,90 
2013-11-19,2013,11,1,2,0,2,17.0 ,101 
2013-11-20,2013,11,2,3,0,2,15.5 ,118 
2013-11-21,2013,11,3,4,0,2,15.2 ,120 
2013-11-22,2013,11,4,5,0,2,16.1 ,130 
2013-11-25,2013,11,7,1,0,5,14.6 ,135 
2013-11-26,2013,11,8,2,0,2,17.9 ,145 
2013-11-27,2013,11,9,3,0,3,14.7 ,140 
2013-11-28,2013,11,10,4,0,6,17.7 ,151 
2013-11-29,2013,11,11,5,0,2,12.1 ,116 
2013-12-2,2013,12,14,1,0,2,13.8 ,151 
2013-12-3,2013,12,15,2,0,2,13.9 ,153 
2013-12-4,2013,12,16,3,0,3,13.5 ,151 
2013-12-5,2013,12,17,4,0,2,13.8 ,171 
2013-12-6,2013,12,18,5,0,2,14.9 ,134 
2013-12-9,2013,12,21,1,0,5,9.1 ,165 
2013-12-10,2013,12,22,2,0,5,7.1 ,155 
2013-12-11,2013,12,23,3,0,5,11.0 ,157 
2013-12-12,2013,12,24,4,0,2,12.3 ,109 
2013-12-13,2013,12,25,5,0,2,13.9 ,111 
2013-12-16,2013,12,28,1,0,2,11.3 ,160 
2013-12-17,2013,12,29,2,0,5,10.8 ,145 
2013-12-18,2013,12,30,3,0,5,7.8 ,145 
2013-12-19,2013,12,31,4,0,1,6.8 ,151 
2013-12-20,2013,12,32,5,0,5,8.4 ,134 
2013-12-24,2013,12,36,2,0,2,11.5 ,122 
2013-12-25,2013,12,37,3,0,2,8.0 ,121 
2013-12-26,2013,12,38,4,0,5,7.3 ,80 
2014-1-7,2014,1,50,2,0,2,7.3 ,131 
2014-1-8,2014,1,51,3,0,5,9.8 ,128 
2014-1-9,2014,1,52,4,0,5,10.9 ,129 
2014-1-10,2014,1,53,5,0,2,5.1 ,87 
2014-1-14,2014,1,57,2,0,3,5.8 ,129 
2014-1-15,2014,1,58,3,0,5,2.9 ,134 
2014-1-16,2014,1,59,4,0,2,7.0 ,107 
2014-1-17,2014,1,60,5,0,2,7.8 ,85 
2014-1-20,2014,1,63,1,0,3,6.5 ,126 
2014-1-21,2014,1,64,2,0,2,10.4 ,129 
2014-1-22,2014,1,65,3,0,2,7.4 ,126 
2014-1-23,2014,1,66,4,0,2,8.5 ,107 
2014-1-24,2014,1,67,5,0,2,10.1 ,92 
2014-1-27,2014,1,70,1,0,2,5.1 ,126 
2014-1-28,2014,1,71,2,0,2,12.6 ,120 
2014-1-29,2014,1,72,3,0,2,10.3 ,121 
2014-1-30,2014,1,73,4,0,5,15.3 ,105 
2014-1-31,2014,1,74,5,0,2,14.1 ,92 
2014-2-3,2014,2,77,1,0,3,15.9 ,139 
2014-2-4,2014,2,78,2,0,1,3.8 ,121 
2014-2-5,2014,2,79,3,0,2,3.0 ,126 
2014-2-6,2014,2,80,4,0,5,4.2 ,111 
2014-2-7,2014,2,81,5,0,3,5.5 ,91 
2014-2-10,2014,2,84,1,0,5,7.8 ,137 
2014-2-12,2014,2,86,3,0,5,6.3 ,111 
2014-2-13,2014,2,87,4,0,5,6.4 ,84 
2014-2-14,2014,2,88,5,0,4,1.2 ,86 
2014-2-17,2014,2,91,1,0,3,11.6 ,137 
2014-2-18,2014,2,92,2,0,3,6.8 ,99 
2014-2-19,2014,2,93,3,0,6,7.3 ,113 
2014-2-20,2014,2,94,4,0,6,5.4 ,85 
2014-2-21,2014,2,95,5,0,2,8.5 ,113 
2014-2-24,2014,2,98,1,0,5,6.6 ,129 
2014-2-25,2014,2,99,2,0,2,10.5 ,104 
2014-2-26,2014,2,100,3,0,3,11.5 ,104 
2014-2-27,2014,2,101,4,0,1,8.5 ,90 
2014-2-28,2014,2,102,5,0,3,17.7 ,69 
2014-3-3,2014,3,105,1,0,5,7.8 ,131 
2014-3-4,2014,3,106,2,0,3,8.3 ,100 
2014-3-5,2014,3,107,3,0,1,6.1 ,110 
2014-3-6,2014,3,108,4,0,2,6.7 ,77 
2014-3-7,2014,3,109,5,0,2,7.0 ,73 
2014-3-10,2014,3,112,1,0,5,7.6 ,123 
2014-3-11,2014,3,113,2,0,2,8.7 ,89 
2014-3-12,2014,3,114,3,0,2,14.8 ,68 
2014-3-13,2014,3,115,4,0,1,15.2 ,80 
2014-3-14,2014,3,116,5,0,5,11.5 ,70 
2014-3-17,2014,3,119,1,0,2,14.0 ,129 
2014-3-18,2014,3,120,2,0,3,18.9 ,90 
2014-3-19,2014,3,121,3,0,5,12.6 ,72 
2014-3-20,2014,3,122,4,0,1,7.5 ,100 
2014-3-24,2014,3,126,1,0,2,17.4 ,102 
2014-3-25,2014,3,127,2,0,2,18.9 ,77 
2014-3-26,2014,3,128,3,0,5,18.7 ,51 
2014-3-27,2014,3,129,4,0,5,12.4 ,55 
2014-3-28,2014,3,130,5,1,2,18.5 ,106 
2014-3-31,2014,3,133,1,0,3,17.5 ,84 
2014-4-1,2014,4,134,2,0,6,16.1 ,125 
2014-4-2,2014,4,135,3,0,6,18.2 ,99 
2014-4-3,2014,4,136,4,0,1,14.3 ,100 
2014-4-4,2014,4,137,5,0,3,17.8 ,90 
2014-4-7,2014,4,140,1,0,2,13.8 ,107 
2014-4-8,2014,4,141,2,0,2,20.1 ,96 
2014-4-9,2014,4,142,3,0,3,19.0 ,88 
2014-4-10,2014,4,143,4,0,3,21.3 ,87 
2014-4-11,2014,4,144,5,1,2,16.5 ,128 
2014-4-14,2014,4,147,1,0,3,16.4 ,92 
2014-4-15,2014,4,148,2,0,2,19.7 ,82 
2014-4-16,2014,4,149,3,0,6,21.5 ,57 
2014-4-17,2014,4,150,4,0,2,20.1 ,57 
2014-4-18,2014,4,151,5,0,5,11.4 ,56 
2014-4-21,2014,4,154,1,0,5,16.4 ,109 
2014-4-22,2014,4,155,2,0,5,18.8 ,78 
2014-4-23,2014,4,156,3,0,2,19.4 ,63 
2014-4-24,2014,4,157,4,0,3,19.9 ,56 
2014-4-25,2014,4,158,5,1,3,20.8 ,80 
2014-4-28,2014,4,161,1,0,3,22.7 ,54 
2014-4-30,2014,4,163,3,0,1,17.5 ,97 
2014-5-1,2014,5,164,4,0,3,24.0 ,64 
2014-5-2,2014,5,165,5,0,3,23.3 ,47 
2014-5-7,2014,5,170,3,0,3,18.9 ,88 
2014-5-8,2014,5,171,4,0,6,21.0 ,59 
2014-5-9,2014,5,172,5,0,3,23.4 ,58 
2014-5-12,2014,5,175,1,0,6,22.7 ,73 
2014-5-13,2014,5,176,2,0,1,18.6 ,70 
2014-5-14,2014,5,177,3,0,6,26.0 ,64 
2014-5-15,2014,5,178,4,0,5,19.3 ,58 
2014-5-16,2014,5,179,5,1,2,23.8 ,126 
2014-5-19,2014,5,182,1,0,5,22.8 ,70 
2014-5-20,2014,5,183,2,0,6,23.9 ,71 
2014-5-21,2014,5,184,3,0,1,17.4 ,104 
2014-5-22,2014,5,185,4,0,7,19.0 ,54 
2014-5-23,2014,5,186,5,0,6,19.8 ,65 
2014-5-26,2014,5,189,1,0,6,23.9 ,77 
2014-5-27,2014,5,190,2,0,5,23.7 ,79 
2014-5-28,2014,5,191,3,0,3,25.7 ,74 
2014-5-29,2014,5,192,4,0,2,26.0 ,64 
2014-5-30,2014,5,193,5,1,6,26.9 ,119 
2014-6-2,2014,6,196,1,0,6,30.6 ,74 
2014-6-3,2014,6,197,2,0,6,27.0 ,59 
2014-6-4,2014,6,198,3,0,3,27.5 ,47 
2014-6-5,2014,6,199,4,0,1,21.5 ,64 
2014-6-6,2014,6,200,5,0,1,19.9 ,93 
2014-6-9,2014,6,203,1,0,1,25.0 ,74 
2014-6-10,2014,6,204,2,0,5,25.5 ,56 
2014-6-11,2014,6,205,3,0,1,22.3 ,50 
2014-6-12,2014,6,206,4,0,1,21.3 ,72 
2014-6-13,2014,6,207,5,1,3,29.5 ,121 
2014-6-16,2014,6,210,1,0,6,28.1 ,76 
2014-6-17,2014,6,211,2,0,6,27.6 ,63 
2014-6-18,2014,6,212,3,0,1,21.9 ,66 
2014-6-19,2014,6,213,4,0,3,27.5 ,56 
2014-6-20,2014,6,214,5,0,6,26.5 ,57 
2014-6-23,2014,6,217,1,0,5,26.9 ,72 
2014-6-24,2014,6,218,2,0,5,23.7 ,61 
2014-6-25,2014,6,219,3,0,1,25.2 ,64 
2014-6-26,2014,6,220,4,0,5,25.2 ,49 
2014-6-27,2014,6,221,5,1,1,25.4 ,74 
2014-6-30,2014,6,224,1,0,6,25.5 ,65 
2014-7-1,2014,7,225,2,0,5,28.3 ,54 
2014-7-2,2014,7,226,3,0,2,28.8 ,50 
2014-7-3,2014,7,227,4,0,6,27.0 ,53 
2014-7-4,2014,7,228,5,0,1,22.1 ,63 
2014-7-7,2014,7,231,1,0,1,24.0 ,82 
2014-7-8,2014,7,232,2,0,3,29.7 ,56 
2014-7-9,2014,7,233,3,0,1,24.6 ,54 
2014-7-10,2014,7,234,4,0,5,28.8 ,48 
2014-7-11,2014,7,235,5,1,3,33.9 ,124 
2014-7-14,2014,7,238,1,0,6,30.9 ,65 
2014-7-15,2014,7,239,2,0,3,30.3 ,51 
2014-7-16,2014,7,240,3,0,3,30.9 ,53 
2014-7-17,2014,7,241,4,0,3,30.1 ,53 
2014-7-18,2014,7,242,5,0,5,25.6 ,55 
2014-7-22,2014,7,246,2,0,3,30.2 ,53 
2014-7-23,2014,7,247,3,0,6,32.0 ,56 
2014-7-24,2014,7,248,4,0,5,32.5 ,62 
2014-7-25,2014,7,249,5,1,3,33.6 ,83 
2014-7-28,2014,7,252,1,0,3,28.9 ,65 
2014-7-29,2014,7,253,2,0,3,30.4 ,52 
2014-7-30,2014,7,254,3,0,3,30.6 ,58 
2014-7-31,2014,7,255,4,0,3,32.5 ,60 
2014-8-1,2014,8,256,5,0,6,32.7 ,38 
2014-8-4,2014,8,259,1,0,5,32.7 ,75 
2014-8-5,2014,8,260,2,0,2,34.3 ,54 
2014-8-6,2014,8,261,3,0,2,34.6 ,58 
2014-8-7,2014,8,262,4,0,3,32.1 ,63 
2014-8-8,2014,8,263,5,1,5,31.1 ,129 
2014-8-11,2014,8,266,1,0,3,32.4 ,45 
2014-8-12,2014,8,267,2,0,1,29.4 ,40 
2014-8-18,2014,8,273,1,0,5,32.2 ,56 
2014-8-19,2014,8,274,2,0,3,33.3 ,53 
2014-8-20,2014,8,275,3,0,2,33.3 ,56 
2014-8-21,2014,8,276,4,0,6,33.0 ,54 
2014-8-22,2014,8,277,5,1,3,33.1 ,100 
2014-8-25,2014,8,280,1,0,5,26.0 ,55 
2014-8-26,2014,8,281,2,0,1,26.2 ,68 
2014-8-27,2014,8,282,3,0,5,21.0 ,62 
2014-8-28,2014,8,283,4,0,1,21.6 ,56 
2014-8-29,2014,8,284,5,0,5,25.1 ,39 
2014-9-1,2014,9,287,1,0,5,23.4 ,65 
2014-9-2,2014,9,288,2,0,3,29.1 ,68 
2014-9-3,2014,9,289,3,0,5,26.7 ,53 
2014-9-4,2014,9,290,4,0,5,26.5 ,54 
2014-9-5,2014,9,291,5,0,3,30.2 ,43 
2014-9-8,2014,9,294,1,0,5,23.1 ,68 
2014-9-9,2014,9,295,2,0,3,26.8 ,63 
2014-9-10,2014,9,296,3,0,5,25.0 ,54 
2014-9-11,2014,9,297,4,0,5,21.9 ,53 
2014-9-12,2014,9,298,5,1,3,27.3 ,115 
2014-9-16,2014,9,302,2,0,3,28.8 ,56 
2014-9-17,2014,9,303,3,0,5,25.0 ,49 
2014-9-18,2014,9,304,4,0,5,24.1 ,46 
2014-9-19,2014,9,305,5,0,6,23.6 ,45 
2014-9-22,2014,9,308,1,0,3,25.2 ,29 
2014-9-24,2014,9,310,3,0,5,24.8 ,59 
2014-9-25,2014,9,311,4,0,5,25.4 ,50 
2014-9-26,2014,9,312,5,0,3,27.1 ,45 
2014-9-29,2014,9,315,1,0,2,26.6 ,56 
2014-9-30,2014,9,316,2,0,2,28.1 ,40 
